2025-06-30 16:46:21.467 | INFO     | llm_caller_utils:llm_call:175 |  session-id: default, request-id: , user-id:   | model_name:memory25_14b,is_parallel:True, parallel_cnt:10, is_stream:False
2025-06-30 16:46:23.946 | INFO     | llm_caller_utils:llm_call:175 |  session-id: default, request-id: , user-id:   | model_name:memory25_72b,is_parallel:False, parallel_cnt:10, is_stream:False
2025-06-30 16:46:23.947 | INFO     | llm_caller_utils:llm_call:175 |  session-id: default, request-id: , user-id:   | model_name:memory25_14b_7kcot0905_sft_vllm,is_parallel:False, parallel_cnt:10, is_stream:False
2025-06-30 16:55:53.045 | INFO     | llm_caller_utils:llm_call:175 |  session-id: default, request-id: , user-id:   | model_name:memory25_14b,is_parallel:True, parallel_cnt:10, is_stream:False
2025-06-30 16:55:55.593 | INFO     | llm_caller_utils:llm_call:175 |  session-id: default, request-id: , user-id:   | model_name:memory25_14b_7kcot0905_sft_vllm,is_parallel:False, parallel_cnt:10, is_stream:False
2025-06-30 16:55:55.594 | INFO     | llm_caller_utils:llm_call:175 |  session-id: default, request-id: , user-id:   | model_name:memory25_72b,is_parallel:False, parallel_cnt:10, is_stream:False
2025-06-30 16:57:00.796 | INFO     | llm_caller_utils:llm_call:175 |  session-id: default, request-id: , user-id:   | model_name:memory25_72b,is_parallel:False, parallel_cnt:10, is_stream:True
2025-06-30 16:57:10.690 | INFO     | llm_caller_utils:llm_call:175 |  session-id: default, request-id: , user-id:   | model_name:memory25_14b,is_parallel:False, parallel_cnt:10, is_stream:False
2025-06-30 17:08:40.736 | INFO     | llm_caller_utils:llm_call:175 |  session-id: default, request-id: , user-id:   | model_name:memory25_14b,is_parallel:True, parallel_cnt:10, is_stream:False
2025-06-30 17:08:43.291 | INFO     | llm_caller_utils:llm_call:175 |  session-id: default, request-id: , user-id:   | model_name:memory25_72b,is_parallel:False, parallel_cnt:10, is_stream:False
2025-06-30 17:08:43.292 | INFO     | llm_caller_utils:llm_call:175 |  session-id: default, request-id: , user-id:   | model_name:memory25_14b_7kcot0905_sft_vllm,is_parallel:False, parallel_cnt:10, is_stream:False
2025-06-30 17:09:46.662 | INFO     | llm_caller_utils:llm_call:175 |  session-id: default, request-id: , user-id:   | model_name:memory25_72b,is_parallel:False, parallel_cnt:10, is_stream:True
2025-06-30 17:39:15.919 | INFO     | llm_caller_utils:llm_call:175 |  session-id: default, request-id: , user-id:   | model_name:memory25_14b,is_parallel:True, parallel_cnt:10, is_stream:False
2025-06-30 17:39:17.653 | INFO     | llm_caller_utils:llm_call:175 |  session-id: default, request-id: , user-id:   | model_name:memory25_72b,is_parallel:False, parallel_cnt:10, is_stream:False
2025-06-30 17:39:17.655 | INFO     | llm_caller_utils:llm_call:175 |  session-id: default, request-id: , user-id:   | model_name:memory25_14b_7kcot0905_sft_vllm,is_parallel:False, parallel_cnt:10, is_stream:False
