2025-06-30 16:46:21.463 | WARNING  | functions:answer:177 |  session-id: , request-id: , user-id:   | timeline_supplement_context:<include.context.RagQAContext.RagQAContext object at 0x34a76c970>
2025-06-30 16:46:21.471 | INFO     | llm_caller_utils:model_interface:74 |  session-id: , request-id: , user-id:   | in calling memory25_14b, index: qwen25_14b_instruct_vllm, url: https://apigateway.online.xinyunews.cn/inference_new/fschat/generate
2025-06-30 16:46:21.472 | INFO     | llm_caller_utils:model_interface:74 |  session-id: , request-id: , user-id:   | in calling memory25_14b, index: qwen25_14b_instruct_vllm, url: https://apigateway.online.xinyunews.cn/inference_new/fschat/generate
2025-06-30 16:46:23.944 | INFO     | functions:answer:207 |  session-id: , request-id: , user-id:   | context.get_origin_question():Give me some latest news about Iran-Israel conflict. >>> context.get_question():2025年6月，Give me some latest news about Iran-Israel conflict.
2025-06-30 16:46:23.945 | INFO     | get_retrieval_range_task:get_retrieval_range_task:298 |  session-id: , request-id: , user-id:   | 开始关键词抽取模块！！问题是:2025年6月，Give me some latest news about Iran-Israel conflict.
2025-06-30 16:46:23.946 | INFO     | get_retrieval_range_task:get_retrieval_range_func:173 |  session-id: , request-id: , user-id:   | 开始关键词抽取模块！！问题是:2025年6月，Give me some latest news about Iran-Israel conflict.
2025-06-30 16:46:23.948 | INFO     | llm_caller_utils:model_interface:74 |  session-id: , request-id: , user-id:   | in calling memory25_72b, index: qwen25_72b_int4_vllm, url: https://apigateway.online.xinyunews.cn/inference_new/fschat/generate
2025-06-30 16:46:23.949 | INFO     | llm_caller_utils:model_interface:74 |  session-id: , request-id: , user-id:   | in calling memory25_14b_7kcot0905_sft_vllm, index: memory25_14b_7kcot0905_sft_vllm, url: https://apigateway.online.xinyunews.cn/inference_new/fschat/generate
2025-06-30 16:46:26.256 | INFO     | get_retrieval_range_task:post_processing_llm_results:215 |  session-id: , request-id: , user-id:   | llm response is: {"人物": [], "地点": ["Iran", "Israel"], "关键词": ["conflict"], "材料开始时间": "2025-06-01", "材料结束时间": "2025-06-30"}
2025-06-30 16:46:26.257 | INFO     | get_retrieval_range_task:post_processing_llm_results:255 |  session-id: , request-id: , user-id:   | retrieval_range:{'character': [], 'location': ['Iran', 'Israel'], 'keywords': ['conflict'], 'start_time': '2025-06-01', 'end_time': '2025-06-30'}
2025-06-30 16:46:26.258 | INFO     | get_retrieval_range_task:get_retrieval_range_task:303 |  session-id: , request-id: , user-id:   | 
